year,geo_code,county,total_households,households_100k _to_149999k,households_150k_ to_199999k,households_200k_or_more,percent_wealthy_households ,total_wealthy_households
2018,0500000US17013,"Calhoun County, Illinois",1805,0.17,0.03,0.03,0.22,401
2018,0500000US17015,"Carroll County, Illinois",6476,0.11,0.03,0.02,0.16,1049
2018,0500000US17017,"Cass County, Illinois",5024,0.13,0.02,0.02,0.17,854
2018,0500000US17019,"Champaign County, Illinois",82499,0.14,0.05,0.05,0.24,19387
2018,0500000US17021,"Christian County, Illinois",13939,0.12,0.04,0.02,0.17,2398
2018,0500000US17023,"Clark County, Illinois",6774,0.13,0.04,0.03,0.20,1382
2018,0500000US17025,"Clay County, Illinois",5638,0.12,0.04,0.01,0.17,942
2018,0500000US17027,"Clinton County, Illinois",14190,0.18,0.07,0.04,0.28,3987
2018,0500000US17029,"Coles County, Illinois",21139,0.10,0.03,0.02,0.16,3319
2018,0500000US17031,"Cook County, Illinois",1963070,0.15,0.07,0.09,0.30,596773
2018,0500000US17033,"Crawford County, Illinois",7653,0.13,0.04,0.04,0.21,1577
2018,0500000US17035,"Cumberland County, Illinois",4322,0.14,0.02,0.03,0.18,774
2018,0500000US17037,"DeKalb County, Illinois",37703,0.17,0.06,0.04,0.26,9878
2018,0500000US17039,"De Witt County, Illinois",6663,0.14,0.05,0.03,0.21,1426
2018,0500000US17041,"Douglas County, Illinois",7618,0.14,0.05,0.03,0.21,1607
2018,0500000US17043,"DuPage County, Illinois",341823,0.20,0.11,0.14,0.44,151428
2018,0500000US17045,"Edgar County, Illinois",7590,0.10,0.03,0.02,0.15,1146
2018,0500000US17047,"Edwards County, Illinois",2776,0.13,0.02,0.02,0.17,469
2018,0500000US17049,"Effingham County, Illinois",13555,0.14,0.05,0.04,0.23,3077
2018,0500000US17051,"Fayette County, Illinois",7616,0.11,0.03,0.02,0.16,1203
2018,0500000US17053,"Ford County, Illinois",5779,0.13,0.03,0.03,0.19,1115
2018,0500000US17055,"Franklin County, Illinois",16135,0.09,0.03,0.02,0.13,2130
2018,0500000US17057,"Fulton County, Illinois",14090,0.11,0.03,0.02,0.16,2212
2018,0500000US17059,"Gallatin County, Illinois",2314,0.09,0.03,0.02,0.13,310
2018,0500000US17061,"Greene County, Illinois",5005,0.11,0.02,0.02,0.14,721
2018,0500000US17063,"Grundy County, Illinois",19398,0.19,0.10,0.05,0.34,6634
2018,0500000US17065,"Hamilton County, Illinois",3376,0.14,0.04,0.03,0.21,702
2018,0500000US17067,"Hancock County, Illinois",7420,0.10,0.03,0.03,0.15,1135
2018,0500000US17069,"Hardin County, Illinois",1438,0.11,0.02,0.01,0.15,211
2018,0500000US17071,"Henderson County, Illinois",2990,0.12,0.02,0.01,0.15,443
2018,0500000US17073,"Henry County, Illinois",20023,0.16,0.04,0.03,0.23,4645
2018,0500000US17075,"Iroquois County, Illinois",11779,0.11,0.04,0.02,0.17,2002
2018,0500000US17077,"Jackson County, Illinois",23728,0.08,0.04,0.03,0.15,3654
2018,0500000US17079,"Jasper County, Illinois",3656,0.14,0.04,0.02,0.19,709
2018,0500000US17081,"Jefferson County, Illinois",15223,0.12,0.04,0.03,0.19,2847
2018,0500000US17083,"Jersey County, Illinois",8665,0.16,0.06,0.03,0.25,2184
2018,0500000US17085,"Jo Daviess County, Illinois",9758,0.14,0.05,0.03,0.22,2137
2018,0500000US17087,"Johnson County, Illinois",4342,0.13,0.03,0.02,0.19,803
2018,0500000US17089,"Kane County, Illinois",178050,0.19,0.09,0.10,0.38,67303
2018,0500000US17091,"Kankakee County, Illinois",40050,0.15,0.05,0.04,0.23,9212
2018,0500000US17093,"Kendall County, Illinois",40407,0.25,0.10,0.09,0.44,17819
2018,0500000US17095,"Knox County, Illinois",20830,0.10,0.03,0.02,0.14,2979
2018,0500000US17097,"Lake County, Illinois",244672,0.18,0.10,0.16,0.44,106677
2018,0500000US17099,"LaSalle County, Illinois",44644,0.15,0.05,0.03,0.22,10000
2018,0500000US17101,"Lawrence County, Illinois",6144,0.11,0.03,0.01,0.16,965
2018,0500000US17103,"Lee County, Illinois",13699,0.12,0.06,0.04,0.22,2945
2018,0500000US17105,"Livingston County, Illinois",14320,0.16,0.04,0.03,0.23,3236
2018,0500000US17107,"Logan County, Illinois",10872,0.14,0.05,0.03,0.22,2348
2018,0500000US17109,"McDonough County, Illinois",11292,0.13,0.04,0.02,0.18,2078
2018,0500000US17111,"McHenry County, Illinois",111812,0.21,0.10,0.09,0.41,45284
2018,0500000US17113,"McLean County, Illinois",66159,0.17,0.08,0.06,0.31,20575
2018,0500000US17115,"Macon County, Illinois",44113,0.12,0.04,0.04,0.20,8646
2018,0500000US17117,"Macoupin County, Illinois",18772,0.14,0.04,0.03,0.22,4036
2018,0500000US17119,"Madison County, Illinois",107413,0.15,0.06,0.04,0.25,26638
2018,0500000US17121,"Marion County, Illinois",15913,0.11,0.03,0.02,0.15,2355
2018,0500000US17123,"Marshall County, Illinois",4893,0.16,0.03,0.02,0.22,1067
2018,0500000US17125,"Mason County, Illinois",6027,0.12,0.03,0.03,0.17,1013
2018,0500000US17127,"Massac County, Illinois",6011,0.09,0.02,0.02,0.13,775
2018,0500000US17129,"Menard County, Illinois",5198,0.16,0.08,0.05,0.29,1492
2018,0500000US17131,"Mercer County, Illinois",6624,0.14,0.03,0.02,0.19,1285
2018,0500000US17133,"Monroe County, Illinois",13349,0.20,0.10,0.10,0.39,5246
2018,0500000US17135,"Montgomery County, Illinois",11339,0.11,0.04,0.02,0.17,1916
2018,0500000US17137,"Morgan County, Illinois",13864,0.12,0.04,0.02,0.17,2371
2018,0500000US17139,"Moultrie County, Illinois",5910,0.14,0.05,0.03,0.22,1306
2018,0500000US17141,"Ogle County, Illinois",20901,0.17,0.06,0.03,0.26,5413
2018,0500000US17143,"Peoria County, Illinois",73629,0.13,0.05,0.05,0.23,16861
2018,0500000US17145,"Perry County, Illinois",8323,0.12,0.02,0.02,0.15,1265
2018,0500000US17147,"Piatt County, Illinois",6700,0.18,0.06,0.04,0.28,1849
2018,0500000US17149,"Pike County, Illinois",6527,0.10,0.04,0.02,0.16,1038
2018,0500000US17151,"Pope County, Illinois",1644,0.12,0.02,0.01,0.14,229
2018,0500000US17153,"Pulaski County, Illinois",2173,0.08,0.02,0.01,0.10,222
2018,0500000US17155,"Putnam County, Illinois",2395,0.16,0.03,0.05,0.24,580
2018,0500000US17157,"Randolph County, Illinois",11873,0.13,0.02,0.03,0.18,2149
2018,0500000US17159,"Richland County, Illinois",6482,0.11,0.03,0.03,0.17,1121
2018,0500000US17161,"Rock Island County, Illinois",60294,0.13,0.04,0.03,0.20,12119
2018,0500000US17163,"St. Clair County, Illinois",103063,0.15,0.05,0.04,0.24,25044
2018,0500000US17165,"Saline County, Illinois",10002,0.11,0.03,0.02,0.15,1530
2018,0500000US17167,"Sangamon County, Illinois",83661,0.15,0.06,0.06,0.27,22170
2018,0500000US17169,"Schuyler County, Illinois",2836,0.09,0.03,0.01,0.13,372
2018,0500000US17171,"Scott County, Illinois",1959,0.12,0.04,0.03,0.19,364
2018,0500000US17173,"Shelby County, Illinois",9203,0.12,0.03,0.01,0.16,1445
2018,0500000US17175,"Stark County, Illinois",2294,0.10,0.04,0.04,0.19,424
2018,0500000US17177,"Stephenson County, Illinois",19609,0.12,0.04,0.02,0.17,3373
2018,0500000US17179,"Tazewell County, Illinois",54613,0.16,0.05,0.05,0.26,14254
2018,0500000US17181,"Union County, Illinois",6669,0.11,0.04,0.02,0.17,1107
2018,0500000US17183,"Vermilion County, Illinois",31180,0.10,0.04,0.02,0.15,4771
2018,0500000US17185,"Wabash County, Illinois",4896,0.11,0.03,0.02,0.16,793
2018,0500000US17187,"Warren County, Illinois",6690,0.12,0.03,0.03,0.18,1184
2018,0500000US17189,"Washington County, Illinois",5975,0.14,0.05,0.03,0.23,1344
2018,0500000US17191,"Wayne County, Illinois",7075,0.10,0.02,0.02,0.14,1005
2018,0500000US17193,"White County, Illinois",6082,0.08,0.04,0.02,0.13,803
2018,0500000US17195,"Whiteside County, Illinois",23346,0.12,0.04,0.03,0.19,4412
2018,0500000US17197,"Will County, Illinois",227848,0.21,0.11,0.09,0.41,93190
2018,0500000US17199,"Williamson County, Illinois",27089,0.13,0.03,0.03,0.19,5066
2018,0500000US17201,"Winnebago County, Illinois",114608,0.12,0.05,0.03,0.20,23380
2018,0500000US17203,"Woodford County, Illinois",14566,0.17,0.09,0.06,0.31,4545
2018,0500000US18001,"Adams County, Indiana",12476,0.11,0.02,0.02,0.15,1896
2018,0500000US18003,"Allen County, Indiana",143500,0.12,0.04,0.04,0.20,28270
2018,0500000US18005,"Bartholomew County, Indiana",31669,0.14,0.06,0.04,0.25,7854
2018,0500000US18007,"Benton County, Indiana",3403,0.11,0.02,0.01,0.14,480
2018,0500000US18009,"Blackford County, Indiana",5225,0.07,0.02,0.02,0.11,559
2018,0500000US18011,"Boone County, Indiana",24645,0.17,0.10,0.13,0.40,9833
2018,0500000US18013,"Brown County, Indiana",6093,0.16,0.05,0.04,0.25,1529
2018,0500000US18015,"Carroll County, Indiana",7880,0.14,0.05,0.03,0.22,1749
2018,0500000US18017,"Cass County, Indiana",14666,0.12,0.03,0.01,0.16,2288
2018,0500000US18019,"Clark County, Indiana",44275,0.14,0.04,0.03,0.20,8944
2018,0500000US18021,"Clay County, Indiana",10510,0.12,0.04,0.01,0.17,1808
2018,0500000US18023,"Clinton County, Indiana",12007,0.14,0.02,0.02,0.18,2125
2018,0500000US18025,"Crawford County, Indiana",3915,0.06,0.02,0.01,0.09,337
2018,0500000US18027,"Daviess County, Indiana",11417,0.14,0.05,0.02,0.20,2329
2018,0500000US18029,"Dearborn County, Indiana",18648,0.19,0.05,0.05,0.29,5315
2018,0500000US18031,"Decatur County, Indiana",10425,0.13,0.04,0.02,0.19,1949
2018,0500000US18033,"DeKalb County, Indiana",16789,0.11,0.03,0.03,0.17,2904
2018,0500000US18035,"Delaware County, Indiana",46028,0.10,0.02,0.03,0.15,6812
2018,0500000US18037,"Dubois County, Indiana",16550,0.16,0.04,0.03,0.22,3674
2018,0500000US18039,"Elkhart County, Indiana",72329,0.12,0.04,0.03,0.19,13815
2018,0500000US18041,"Fayette County, Indiana",9568,0.09,0.02,0.01,0.12,1158
2018,0500000US18043,"Floyd County, Indiana",29356,0.15,0.07,0.05,0.27,7838
2018,0500000US18045,"Fountain County, Indiana",7015,0.12,0.02,0.02,0.16,1129
2018,0500000US18047,"Franklin County, Indiana",8744,0.15,0.06,0.02,0.23,2037
2018,0500000US18049,"Fulton County, Indiana",7884,0.10,0.02,0.01,0.14,1064
2018,0500000US18051,"Gibson County, Indiana",13244,0.13,0.04,0.03,0.20,2636
2018,0500000US18053,"Grant County, Indiana",26121,0.09,0.02,0.01,0.13,3265
2018,0500000US18055,"Greene County, Indiana",12790,0.11,0.03,0.02,0.15,1919
2018,0500000US18057,"Hamilton County, Indiana",116982,0.21,0.11,0.15,0.47,55216
2018,0500000US18059,"Hancock County, Indiana",28215,0.20,0.06,0.05,0.31,8718
2018,0500000US18061,"Harrison County, Indiana",14584,0.12,0.05,0.03,0.20,2917
2018,0500000US18063,"Hendricks County, Indiana",58078,0.22,0.08,0.06,0.36,20966
2018,0500000US18065,"Henry County, Indiana",18408,0.10,0.02,0.01,0.14,2540
2018,0500000US18067,"Howard County, Indiana",34550,0.13,0.04,0.03,0.19,6530
2018,0500000US18069,"Huntington County, Indiana",14754,0.13,0.03,0.02,0.17,2508
2018,0500000US18071,"Jackson County, Indiana",16746,0.13,0.04,0.02,0.19,3098
2018,0500000US18073,"Jasper County, Indiana",12539,0.15,0.05,0.02,0.21,2621
2018,0500000US18075,"Jay County, Indiana",8149,0.10,0.02,0.01,0.13,1027
2018,0500000US18077,"Jefferson County, Indiana",12759,0.12,0.04,0.02,0.18,2233
2018,0500000US18079,"Jennings County, Indiana",10659,0.11,0.02,0.01,0.15,1546
2018,0500000US18081,"Johnson County, Indiana",55777,0.18,0.07,0.06,0.30,16845
2018,0500000US18083,"Knox County, Indiana",14955,0.09,0.04,0.02,0.15,2273
2018,0500000US18085,"Kosciusko County, Indiana",30676,0.14,0.04,0.04,0.21,6565
2018,0500000US18087,"LaGrange County, Indiana",12079,0.14,0.05,0.03,0.22,2597
2018,0500000US18089,"Lake County, Indiana",185437,0.14,0.05,0.03,0.22,40611
2018,0500000US18091,"LaPorte County, Indiana",42904,0.12,0.04,0.03,0.19,7937
2018,0500000US18093,"Lawrence County, Indiana",18487,0.11,0.03,0.02,0.16,2865
2018,0500000US18095,"Madison County, Indiana",51422,0.12,0.03,0.02,0.17,8485
2018,0500000US18097,"Marion County, Indiana",369033,0.11,0.04,0.04,0.18,67164
2018,0500000US18099,"Marshall County, Indiana",17245,0.14,0.03,0.02,0.19,3259
2018,0500000US18101,"Martin County, Indiana",4198,0.12,0.03,0.02,0.16,659
2018,0500000US18103,"Miami County, Indiana",13707,0.10,0.02,0.01,0.14,1933
2018,0500000US18105,"Monroe County, Indiana",55537,0.12,0.04,0.04,0.21,11496
2018,0500000US18107,"Montgomery County, Indiana",15271,0.12,0.04,0.02,0.18,2718
2018,0500000US18109,"Morgan County, Indiana",25926,0.18,0.05,0.03,0.25,6482
2018,0500000US18111,"Newton County, Indiana",5562,0.11,0.01,0.02,0.15,812
2018,0500000US18113,"Noble County, Indiana",18090,0.12,0.03,0.03,0.17,3075
2018,0500000US18115,"Ohio County, Indiana",2513,0.19,0.02,0.01,0.23,570
2018,0500000US18117,"Orange County, Indiana",7881,0.10,0.02,0.02,0.13,1056
2018,0500000US18119,"Owen County, Indiana",8695,0.11,0.02,0.01,0.14,1174
2018,0500000US18121,"Parke County, Indiana",6145,0.09,0.05,0.01,0.15,903
2018,0500000US18123,"Perry County, Indiana",7465,0.12,0.03,0.02,0.18,1321
2018,0500000US18125,"Pike County, Indiana",5129,0.13,0.06,0.01,0.19,969
2018,0500000US18127,"Porter County, Indiana",63969,0.19,0.07,0.05,0.31,19830
2018,0500000US18129,"Posey County, Indiana",10175,0.19,0.06,0.02,0.27,2707
2018,0500000US18131,"Pulaski County, Indiana",5200,0.10,0.02,0.01,0.14,707
2018,0500000US18133,"Putnam County, Indiana",13439,0.12,0.04,0.02,0.18,2459
2018,0500000US18135,"Randolph County, Indiana",10477,0.09,0.01,0.01,0.12,1215
2018,0500000US18137,"Ripley County, Indiana",11165,0.13,0.04,0.03,0.20,2200
2018,0500000US18139,"Rush County, Indiana",6725,0.12,0.03,0.02,0.18,1177
2018,0500000US18141,"St. Joseph County, Indiana",101241,0.13,0.04,0.04,0.20,20349
2018,0500000US18143,"Scott County, Indiana",9004,0.11,0.04,0.01,0.16,1423
2018,0500000US18145,"Shelby County, Indiana",17725,0.15,0.04,0.03,0.22,3917
2018,0500000US18147,"Spencer County, Indiana",8109,0.14,0.03,0.02,0.20,1606
2018,0500000US18149,"Starke County, Indiana",8735,0.11,0.02,0.01,0.14,1205
2018,0500000US18151,"Steuben County, Indiana",14156,0.13,0.04,0.02,0.19,2718
2018,0500000US18153,"Sullivan County, Indiana",7707,0.12,0.03,0.01,0.16,1241
2018,0500000US18155,"Switzerland County, Indiana",4297,0.11,0.01,0.02,0.13,563
2018,0500000US18157,"Tippecanoe County, Indiana",69112,0.13,0.04,0.04,0.21,14306
2018,0500000US18159,"Tipton County, Indiana",6295,0.14,0.05,0.03,0.22,1366
2018,0500000US18161,"Union County, Indiana",2846,0.10,0.03,0.01,0.13,381
2018,0500000US18163,"Vanderburgh County, Indiana",75197,0.11,0.04,0.03,0.18,13385
2018,0500000US18165,"Vermillion County, Indiana",6616,0.10,0.03,0.01,0.14,939
2018,0500000US18167,"Vigo County, Indiana",41874,0.10,0.03,0.03,0.15,6449
2018,0500000US18169,"Wabash County, Indiana",12875,0.09,0.02,0.02,0.12,1584
2018,0500000US18171,"Warren County, Indiana",3384,0.17,0.05,0.01,0.23,778
2018,0500000US18173,"Warrick County, Indiana",24267,0.18,0.06,0.07,0.31,7620
2018,0500000US18175,"Washington County, Indiana",10721,0.09,0.02,0.03,0.14,1469
2018,0500000US18177,"Wayne County, Indiana",26611,0.11,0.02,0.03,0.15,4098
2018,0500000US18179,"Wells County, Indiana",10874,0.14,0.03,0.03,0.20,2164
2018,0500000US18181,"White County, Indiana",9745,0.11,0.04,0.02,0.17,1647
2018,0500000US18183,"Whitley County, Indiana",13548,0.14,0.04,0.03,0.21,2804
2018,0500000US19001,"Adair County, Iowa",3136,0.12,0.03,0.03,0.17,543
2018,0500000US19003,"Adams County, Iowa",1641,0.10,0.03,0.03,0.15,251
2018,0500000US19005,"Allamakee County, Iowa",5957,0.13,0.03,0.03,0.19,1114
2018,0500000US19007,"Appanoose County, Iowa",5416,0.07,0.02,0.03,0.12,628
2018,0500000US19009,"Audubon County, Iowa",2677,0.09,0.04,0.02,0.15,391
2018,0500000US19011,"Benton County, Iowa",10224,0.16,0.06,0.04,0.26,2689
2018,0500000US19013,"Black Hawk County, Iowa",52976,0.13,0.04,0.04,0.20,10807
2018,0500000US19015,"Boone County, Iowa",10940,0.15,0.04,0.03,0.23,2538
2018,0500000US19017,"Bremer County, Iowa",9585,0.18,0.06,0.04,0.28,2722
2018,0500000US19019,"Buchanan County, Iowa",8046,0.14,0.05,0.04,0.23,1834
2018,0500000US19021,"Buena Vista County, Iowa",7550,0.12,0.05,0.03,0.20,1487
2018,0500000US19023,"Butler County, Iowa",6251,0.13,0.04,0.03,0.19,1206
2018,0500000US19025,"Calhoun County, Iowa",4191,0.11,0.03,0.03,0.17,708
2018,0500000US19027,"Carroll County, Iowa",8674,0.14,0.05,0.03,0.22,1891
2018,0500000US19029,"Cass County, Iowa",5964,0.10,0.03,0.02,0.15,871
2018,0500000US19031,"Cedar County, Iowa",7546,0.18,0.04,0.04,0.26,1924
2018,0500000US19033,"Cerro Gordo County, Iowa",19213,0.13,0.03,0.04,0.20,3785
2018,0500000US19035,"Cherokee County, Iowa",5337,0.13,0.04,0.05,0.21,1131
2018,0500000US19037,"Chickasaw County, Iowa",5191,0.15,0.03,0.02,0.20,1043
2018,0500000US19039,"Clarke County, Iowa",3854,0.11,0.05,0.02,0.18,682
2018,0500000US19041,"Clay County, Iowa",7343,0.15,0.03,0.02,0.19,1366
2018,0500000US19043,"Clayton County, Iowa",7652,0.12,0.03,0.02,0.17,1286
2018,0500000US19045,"Clinton County, Iowa",19689,0.14,0.04,0.02,0.20,3997
2018,0500000US19047,"Crawford County, Iowa",6435,0.15,0.03,0.03,0.20,1281
2018,0500000US19049,"Dallas County, Iowa",32886,0.21,0.10,0.11,0.42,13812
2018,0500000US19051,"Davis County, Iowa",3215,0.13,0.04,0.04,0.21,662
2018,0500000US19053,"Decatur County, Iowa",3213,0.09,0.02,0.02,0.13,414
2018,0500000US19055,"Delaware County, Iowa",6939,0.15,0.04,0.02,0.22,1520
2018,0500000US19057,"Des Moines County, Iowa",16840,0.12,0.03,0.02,0.17,2896
2018,0500000US19059,"Dickinson County, Iowa",8069,0.15,0.05,0.06,0.26,2058
2018,0500000US19061,"Dubuque County, Iowa",38330,0.15,0.04,0.04,0.23,8969
2018,0500000US19063,"Emmet County, Iowa",4110,0.12,0.02,0.03,0.18,727
2018,0500000US19065,"Fayette County, Iowa",8315,0.11,0.02,0.03,0.16,1314
2018,0500000US19067,"Floyd County, Iowa",6759,0.12,0.03,0.03,0.18,1196
2018,0500000US19069,"Franklin County, Iowa",4200,0.14,0.02,0.02,0.18,769
2018,0500000US19071,"Fremont County, Iowa",2990,0.13,0.05,0.03,0.21,625
2018,0500000US19073,"Greene County, Iowa",3889,0.14,0.03,0.02,0.19,735
2018,0500000US19075,"Grundy County, Iowa",5137,0.17,0.06,0.05,0.28,1438
2018,0500000US19077,"Guthrie County, Iowa",4397,0.13,0.04,0.03,0.20,879
2018,0500000US19079,"Hamilton County, Iowa",6315,0.16,0.02,0.02,0.20,1288
2018,0500000US19081,"Hancock County, Iowa",4766,0.14,0.02,0.03,0.19,886
2018,0500000US19083,"Hardin County, Iowa",7175,0.14,0.02,0.02,0.18,1299
2018,0500000US19085,"Harrison County, Iowa",6076,0.13,0.05,0.03,0.21,1276
2018,0500000US19087,"Henry County, Iowa",7714,0.13,0.03,0.03,0.18,1412
2018,0500000US19089,"Howard County, Iowa",3868,0.11,0.05,0.02,0.18,689
2018,0500000US19091,"Humboldt County, Iowa",4221,0.17,0.03,0.03,0.22,941
2018,0500000US19093,"Ida County, Iowa",3010,0.15,0.06,0.04,0.24,725
2018,0500000US19095,"Iowa County, Iowa",6791,0.16,0.05,0.03,0.24,1637
2018,0500000US19097,"Jackson County, Iowa",8236,0.12,0.05,0.03,0.20,1664
2018,0500000US19099,"Jasper County, Iowa",14548,0.15,0.04,0.02,0.21,3011
2018,0500000US19101,"Jefferson County, Iowa",6831,0.10,0.02,0.03,0.15,1052
2018,0500000US19103,"Johnson County, Iowa",58163,0.16,0.06,0.07,0.30,17216
2018,0500000US19105,"Jones County, Iowa",8204,0.14,0.03,0.04,0.22,1772
2018,0500000US19107,"Keokuk County, Iowa",4384,0.10,0.04,0.03,0.17,728
2018,0500000US19109,"Kossuth County, Iowa",6666,0.12,0.03,0.03,0.18,1187
2018,0500000US19111,"Lee County, Iowa",14177,0.11,0.03,0.02,0.15,2141
2018,0500000US19113,"Linn County, Iowa",89807,0.17,0.07,0.05,0.29,25595
2018,0500000US19115,"Louisa County, Iowa",4343,0.13,0.04,0.03,0.19,843
2018,0500000US19117,"Lucas County, Iowa",3642,0.11,0.04,0.03,0.18,659
2018,0500000US19119,"Lyon County, Iowa",4549,0.15,0.05,0.03,0.22,1014
2018,0500000US19121,"Madison County, Iowa",6309,0.16,0.05,0.05,0.26,1609
2018,0500000US19123,"Mahaska County, Iowa",8829,0.14,0.03,0.02,0.19,1651
2018,0500000US19125,"Marion County, Iowa",13314,0.16,0.04,0.03,0.23,3049
2018,0500000US19127,"Marshall County, Iowa",15338,0.12,0.04,0.02,0.18,2792
2018,0500000US19129,"Mills County, Iowa",5587,0.20,0.07,0.05,0.32,1760
2018,0500000US19131,"Mitchell County, Iowa",4397,0.12,0.03,0.05,0.20,871
2018,0500000US19133,"Monona County, Iowa",4053,0.10,0.02,0.03,0.15,596
2018,0500000US19135,"Monroe County, Iowa",3329,0.13,0.02,0.01,0.16,543
2018,0500000US19137,"Montgomery County, Iowa",4587,0.11,0.01,0.03,0.16,720
2018,0500000US19139,"Muscatine County, Iowa",16536,0.14,0.05,0.02,0.21,3489
2018,0500000US19141,"O'Brien County, Iowa",6031,0.12,0.03,0.03,0.18,1086
2018,0500000US19143,"Osceola County, Iowa",2611,0.13,0.03,0.03,0.19,493
2018,0500000US19145,"Page County, Iowa",6323,0.11,0.03,0.02,0.17,1050
2018,0500000US19147,"Palo Alto County, Iowa",3812,0.12,0.03,0.03,0.19,724
2018,0500000US19149,"Plymouth County, Iowa",10115,0.18,0.05,0.04,0.27,2701
2018,0500000US19151,"Pocahontas County, Iowa",3205,0.11,0.03,0.02,0.16,513
2018,0500000US19153,"Polk County, Iowa",183753,0.17,0.07,0.06,0.29,54023
2018,0500000US19155,"Pottawattamie County, Iowa",36881,0.15,0.05,0.03,0.23,8446
2018,0500000US19157,"Poweshiek County, Iowa",7681,0.13,0.04,0.05,0.22,1698
2018,0500000US19159,"Ringgold County, Iowa",1997,0.11,0.03,0.06,0.20,391
2018,0500000US19161,"Sac County, Iowa",4367,0.14,0.03,0.03,0.20,869
2018,0500000US19163,"Scott County, Iowa",67025,0.15,0.06,0.05,0.25,16957
2018,0500000US19165,"Shelby County, Iowa",5046,0.15,0.04,0.04,0.22,1130
2018,0500000US19167,"Sioux County, Iowa",12166,0.16,0.05,0.04,0.25,3078
2018,0500000US19169,"Story County, Iowa",37219,0.15,0.05,0.05,0.24,9081
2018,0500000US19171,"Tama County, Iowa",6755,0.13,0.05,0.02,0.21,1385
2018,0500000US19173,"Taylor County, Iowa",2650,0.12,0.03,0.03,0.17,461
2018,0500000US19175,"Union County, Iowa",5194,0.12,0.03,0.03,0.17,883
2018,0500000US19177,"Van Buren County, Iowa",2863,0.08,0.02,0.04,0.14,401
2018,0500000US19179,"Wapello County, Iowa",14418,0.12,0.02,0.02,0.16,2278
2018,0500000US19181,"Warren County, Iowa",18959,0.20,0.07,0.05,0.32,6067
2018,0500000US19183,"Washington County, Iowa",8720,0.17,0.05,0.03,0.25,2145
2018,0500000US19185,"Wayne County, Iowa",2669,0.08,0.02,0.03,0.13,336
2018,0500000US19187,"Webster County, Iowa",15208,0.11,0.03,0.02,0.16,2357
2018,0500000US19189,"Winnebago County, Iowa",4605,0.14,0.04,0.01,0.18,834
2018,0500000US19191,"Winneshiek County, Iowa",8205,0.14,0.05,0.04,0.22,1813
2018,0500000US19193,"Woodbury County, Iowa",38975,0.13,0.04,0.03,0.20,7912
2018,0500000US19195,"Worth County, Iowa",3170,0.12,0.05,0.03,0.19,612
2018,0500000US19197,"Wright County, Iowa",5690,0.12,0.03,0.03,0.18,1007
2018,0500000US20001,"Allen County, Kansas",5289,0.08,0.02,0.02,0.11,598
2018,0500000US20003,"Anderson County, Kansas",3069,0.10,0.02,0.02,0.14,417
2018,0500000US20005,"Atchison County, Kansas",5980,0.13,0.03,0.02,0.18,1076
2018,0500000US20007,"Barber County, Kansas",1960,0.12,0.03,0.03,0.19,363
2018,0500000US20009,"Barton County, Kansas",10892,0.11,0.04,0.02,0.18,1917
2018,0500000US20011,"Bourbon County, Kansas",5722,0.08,0.03,0.03,0.13,750
2018,0500000US20013,"Brown County, Kansas",3904,0.09,0.04,0.02,0.15,590
2018,0500000US20015,"Butler County, Kansas",24473,0.17,0.06,0.04,0.26,6436
2018,0500000US20017,"Chase County, Kansas",1029,0.09,0.02,0.02,0.13,135
2018,0500000US20019,"Chautauqua County, Kansas",1450,0.06,0.03,0.03,0.12,171
2018,0500000US20021,"Cherokee County, Kansas",8037,0.08,0.02,0.01,0.11,860
2018,0500000US20023,"Cheyenne County, Kansas",1228,0.12,0.04,0.02,0.19,228
2018,0500000US20025,"Clark County, Kansas",893,0.15,0.04,0.02,0.21,185
2018,0500000US20027,"Clay County, Kansas",3402,0.08,0.05,0.05,0.18,623
2018,0500000US20029,"Cloud County, Kansas",3858,0.10,0.02,0.02,0.14,521
2018,0500000US20031,"Coffey County, Kansas",3548,0.18,0.05,0.03,0.26,919
2018,0500000US20033,"Comanche County, Kansas",744,0.13,0.04,0.02,0.19,144
2018,0500000US20035,"Cowley County, Kansas",13566,0.12,0.03,0.02,0.17,2238
2018,0500000US20037,"Crawford County, Kansas",15053,0.10,0.02,0.02,0.14,2092
2018,0500000US20039,"Decatur County, Kansas",1486,0.10,0.03,0.02,0.14,205
2018,0500000US20041,"Dickinson County, Kansas",7801,0.12,0.03,0.02,0.17,1326
2018,0500000US20043,"Doniphan County, Kansas",3024,0.13,0.02,0.02,0.17,526
2018,0500000US20045,"Douglas County, Kansas",46294,0.15,0.07,0.05,0.26,11805
2018,0500000US20047,"Edwards County, Kansas",1302,0.09,0.03,0.02,0.14,181
2018,0500000US20049,"Elk County, Kansas",1117,0.05,0.00,0.03,0.07,82
2018,0500000US20051,"Ellis County, Kansas",11581,0.13,0.04,0.04,0.20,2351
2018,0500000US20053,"Ellsworth County, Kansas",2462,0.12,0.03,0.02,0.17,406
2018,0500000US20055,"Finney County, Kansas",12509,0.14,0.04,0.03,0.20,2502
2018,0500000US20057,"Ford County, Kansas",11274,0.11,0.04,0.04,0.18,2074
2018,0500000US20059,"Franklin County, Kansas",9982,0.13,0.03,0.02,0.19,1887
2018,0500000US20061,"Geary County, Kansas",12754,0.10,0.04,0.01,0.14,1837
2018,0500000US20063,"Gove County, Kansas",1211,0.10,0.03,0.03,0.16,193
