year,geo_code,county,total_households,households_100k _to_149999k,households_150k_ to_199999k,households_200k_or_more,percent_wealthy_households ,total_wealthy_households
2018,0500000US13263,"Talbot County, Georgia",2766,0.05,0.03,0.01,0.09,246
2018,0500000US13265,"Taliaferro County, Georgia",612,0.07,0.01,0.01,0.08,51
2018,0500000US13267,"Tattnall County, Georgia",8237,0.10,0.03,0.03,0.16,1277
2018,0500000US13269,"Taylor County, Georgia",3437,0.07,0.02,0.01,0.10,351
2018,0500000US13271,"Telfair County, Georgia",4931,0.05,0.01,0.01,0.06,316
2018,0500000US13273,"Terrell County, Georgia",3247,0.08,0.01,0.02,0.11,370
2018,0500000US13275,"Thomas County, Georgia",17352,0.10,0.05,0.04,0.18,3089
2018,0500000US13277,"Tift County, Georgia",15058,0.10,0.04,0.02,0.16,2334
2018,0500000US13279,"Toombs County, Georgia",10403,0.09,0.02,0.03,0.14,1404
2018,0500000US13281,"Towns County, Georgia",4777,0.10,0.03,0.02,0.14,654
2018,0500000US13283,"Treutlen County, Georgia",2641,0.06,0.00,0.03,0.09,224
2018,0500000US13285,"Troup County, Georgia",24843,0.11,0.03,0.02,0.16,4049
2018,0500000US13287,"Turner County, Georgia",3023,0.06,0.02,0.01,0.09,281
2018,0500000US13289,"Twiggs County, Georgia",3031,0.07,0.03,0.01,0.11,336
2018,0500000US13291,"Union County, Georgia",9070,0.08,0.02,0.03,0.13,1197
2018,0500000US13293,"Upson County, Georgia",10204,0.08,0.03,0.01,0.12,1245
2018,0500000US13295,"Walker County, Georgia",25709,0.10,0.02,0.03,0.15,3779
2018,0500000US13297,"Walton County, Georgia",31133,0.14,0.05,0.05,0.24,7472
2018,0500000US13299,"Ware County, Georgia",13901,0.09,0.02,0.01,0.12,1599
2018,0500000US13301,"Warren County, Georgia",2332,0.06,0.02,0.02,0.10,229
2018,0500000US13303,"Washington County, Georgia",7359,0.08,0.02,0.01,0.11,809
2018,0500000US13305,"Wayne County, Georgia",10353,0.10,0.03,0.02,0.14,1491
2018,0500000US13307,"Webster County, Georgia",1101,0.06,0.03,0.01,0.11,121
2018,0500000US13309,"Wheeler County, Georgia",1937,0.04,0.02,0.00,0.06,118
2018,0500000US13311,"White County, Georgia",11588,0.11,0.03,0.02,0.16,1866
2018,0500000US13313,"Whitfield County, Georgia",36043,0.09,0.03,0.04,0.16,5695
2018,0500000US13315,"Wilcox County, Georgia",2606,0.08,0.02,0.01,0.10,263
2018,0500000US13317,"Wilkes County, Georgia",3879,0.10,0.02,0.02,0.13,497
2018,0500000US13319,"Wilkinson County, Georgia",3237,0.08,0.03,0.01,0.12,379
2018,0500000US13321,"Worth County, Georgia",8038,0.08,0.04,0.01,0.13,1037
2018,0500000US15001,"Hawaii County, Hawaii",68412,0.15,0.06,0.05,0.26,17856
2018,0500000US15003,"Honolulu County, Hawaii",311525,0.20,0.10,0.11,0.41,127414
2018,0500000US15005,"Kalawao County, Hawaii",47,0.26,0.04,0.00,0.30,14
2018,0500000US15007,"Kauai County, Hawaii",22524,0.22,0.08,0.07,0.37,8311
2018,0500000US15009,"Maui County, Hawaii",54274,0.19,0.09,0.09,0.36,19593
2018,0500000US16001,"Ada County, Idaho",168741,0.16,0.06,0.06,0.28,47079
2018,0500000US16003,"Adams County, Idaho",1675,0.05,0.03,0.03,0.11,176
2018,0500000US16005,"Bannock County, Idaho",30841,0.13,0.03,0.03,0.19,5829
2018,0500000US16007,"Bear Lake County, Idaho",2350,0.12,0.03,0.02,0.17,395
2018,0500000US16009,"Benewah County, Idaho",3346,0.08,0.03,0.01,0.13,428
2018,0500000US16011,"Bingham County, Idaho",14772,0.13,0.04,0.02,0.18,2600
2018,0500000US16013,"Blaine County, Idaho",8190,0.13,0.04,0.06,0.23,1859
2018,0500000US16015,"Boise County, Idaho",3110,0.18,0.06,0.03,0.27,830
2018,0500000US16017,"Bonner County, Idaho",17584,0.10,0.04,0.03,0.17,2901
2018,0500000US16019,"Bonneville County, Idaho",39000,0.14,0.05,0.04,0.23,8970
2018,0500000US16021,"Boundary County, Idaho",4605,0.07,0.02,0.05,0.14,631
2018,0500000US16023,"Butte County, Idaho",1050,0.10,0.03,0.04,0.16,169
2018,0500000US16025,"Camas County, Idaho",357,0.07,0.02,0.08,0.17,62
2018,0500000US16027,"Canyon County, Idaho",70847,0.11,0.03,0.02,0.15,10910
2018,0500000US16029,"Caribou County, Idaho",2618,0.12,0.08,0.02,0.22,579
2018,0500000US16031,"Cassia County, Idaho",7904,0.11,0.03,0.03,0.17,1336
2018,0500000US16033,"Clark County, Idaho",305,0.07,0.01,0.00,0.08,24
2018,0500000US16035,"Clearwater County, Idaho",3707,0.07,0.02,0.02,0.11,423
2018,0500000US16037,"Custer County, Idaho",1761,0.09,0.02,0.01,0.12,203
2018,0500000US16039,"Elmore County, Idaho",10285,0.08,0.03,0.01,0.13,1306
2018,0500000US16041,"Franklin County, Idaho",4294,0.13,0.05,0.02,0.20,846
2018,0500000US16043,"Fremont County, Idaho",4309,0.14,0.01,0.02,0.17,724
