year,geo_code,county,total_households,households_100k_to_149999k,households_150k_to_199999k,households_200k_or_more,percent_wealthy_households,total_wealthy_households
2022,0500000US12101,"Pasco County, Florida",223385,0.15,0.08,0.07,0.3,66122
2022,0500000US12103,"Pinellas County, Florida",418716,0.15,0.08,0.09,0.32,133989
2022,0500000US12105,"Polk County, Florida",264145,0.15,0.06,0.05,0.25,66300
2022,0500000US12107,"Putnam County, Florida",29782,0.11,0.03,0.03,0.17,4944
2022,0500000US12109,"St. Johns County, Florida",102056,0.18,0.13,0.19,0.5,51028
2022,0500000US12111,"St. Lucie County, Florida",126443,0.17,0.06,0.06,0.28,35783
2022,0500000US12113,"Santa Rosa County, Florida",69524,0.22,0.09,0.1,0.41,28296
2022,0500000US12115,"Sarasota County, Florida",199345,0.18,0.08,0.12,0.37,74555
2022,0500000US12117,"Seminole County, Florida",183487,0.18,0.09,0.11,0.39,71009
2022,0500000US12119,"Sumter County, Florida",64305,0.18,0.06,0.06,0.3,19484
2022,0500000US12121,"Suwannee County, Florida",15453,0.13,0.02,0.03,0.18,2828
2022,0500000US12123,"Taylor County, Florida",7465,0.09,0.06,0.03,0.18,1366
2022,0500000US12125,"Union County, Florida",4094,0.16,0.07,0.03,0.26,1073
2022,0500000US12127,"Volusia County, Florida",232673,0.16,0.06,0.06,0.27,62589
2022,0500000US12129,"Wakulla County, Florida",11932,0.2,0.07,0.06,0.33,3878
2022,0500000US12131,"Walton County, Florida",31491,0.17,0.08,0.11,0.36,11337
2022,0500000US12133,"Washington County, Florida",9095,0.12,0.03,0.04,0.18,1655
2022,0500000US13001,"Appling County, Georgia",6890,0.1,0.05,0.03,0.18,1268
2022,0500000US13003,"Atkinson County, Georgia",3063,0.1,0.02,0.04,0.16,481
2022,0500000US13005,"Bacon County, Georgia",3909,0.1,0.05,0.02,0.16,641
2022,0500000US13007,"Baker County, Georgia",1097,0.11,0.07,0.02,0.2,218
2022,0500000US13009,"Baldwin County, Georgia",15853,0.13,0.06,0.04,0.24,3725
2022,0500000US13011,"Banks County, Georgia",6667,0.19,0.06,0.04,0.29,1927
2022,0500000US13013,"Barrow County, Georgia",28781,0.2,0.08,0.05,0.33,9613
2022,0500000US13015,"Bartow County, Georgia",38429,0.21,0.07,0.07,0.35,13335
2022,0500000US13017,"Ben Hill County, Georgia",7126,0.07,0.04,0.03,0.13,934
2022,0500000US13019,"Berrien County, Georgia",6773,0.13,0.05,0.02,0.19,1300
2022,0500000US13021,"Bibb County, Georgia",59480,0.13,0.05,0.06,0.24,14216
2022,0500000US13023,"Bleckley County, Georgia",4223,0.14,0.05,0.04,0.23,967
2022,0500000US13025,"Brantley County, Georgia",6649,0.13,0.03,0.01,0.17,1150
2022,0500000US13027,"Brooks County, Georgia",5957,0.1,0.03,0.04,0.17,1007
2022,0500000US13029,"Bryan County, Georgia",15255,0.22,0.11,0.12,0.45,6865
2022,0500000US13031,"Bulloch County, Georgia",29634,0.13,0.05,0.04,0.23,6727
2022,0500000US13033,"Burke County, Georgia",8913,0.15,0.05,0.05,0.25,2184
2022,0500000US13035,"Butts County, Georgia",8483,0.21,0.03,0.04,0.27,2299
2022,0500000US13037,"Calhoun County, Georgia",1497,0.07,0.04,0.04,0.15,228
2022,0500000US13039,"Camden County, Georgia",20345,0.18,0.08,0.04,0.31,6246
2022,0500000US13043,"Candler County, Georgia",4103,0.13,0.04,0.02,0.2,816
2022,0500000US13045,"Carroll County, Georgia",42996,0.18,0.07,0.06,0.3,12856
2022,0500000US13047,"Catoosa County, Georgia",25775,0.18,0.06,0.07,0.31,7990
2022,0500000US13049,"Charlton County, Georgia",4043,0.12,0.01,0.03,0.16,659
2022,0500000US13051,"Chatham County, Georgia",117383,0.17,0.07,0.08,0.31,36858
2022,0500000US13053,"Chattahoochee County, Georgia",2031,0.18,0.04,0.01,0.22,451
2022,0500000US13055,"Chattooga County, Georgia",9292,0.1,0.03,0.01,0.14,1292
2022,0500000US13057,"Cherokee County, Georgia",97023,0.22,0.14,0.15,0.51,49094
2022,0500000US13059,"Clarke County, Georgia",53336,0.12,0.06,0.05,0.23,12054
2022,0500000US13061,"Clay County, Georgia",1143,0.05,0.01,0,0.06,73
2022,0500000US13063,"Clayton County, Georgia",104820,0.14,0.05,0.03,0.22,22536
2022,0500000US13065,"Clinch County, Georgia",2385,0.12,0.03,0.01,0.16,377
2022,0500000US13067,"Cobb County, Georgia",291171,0.2,0.11,0.17,0.48,138597
2022,0500000US13069,"Coffee County, Georgia",14894,0.11,0.04,0.04,0.19,2755
2022,0500000US13071,"Colquitt County, Georgia",16539,0.12,0.06,0.04,0.21,3506
2022,0500000US13073,"Columbia County, Georgia",50056,0.21,0.12,0.14,0.46,23176
2022,0500000US13075,"Cook County, Georgia",6116,0.12,0.04,0.05,0.21,1272
2022,0500000US13077,"Coweta County, Georgia",54177,0.21,0.11,0.13,0.44,24000
2022,0500000US13079,"Crawford County, Georgia",4332,0.14,0.04,0.08,0.27,1148
2022,0500000US13081,"Crisp County, Georgia",7951,0.1,0.03,0.05,0.18,1463
2022,0500000US13083,"Dade County, Georgia",6074,0.15,0.03,0.06,0.24,1446
2022,0500000US13085,"Dawson County, Georgia",10343,0.2,0.1,0.12,0.42,4375
2022,0500000US13087,"Decatur County, Georgia",10295,0.15,0.04,0.02,0.21,2141
2022,0500000US13089,"DeKalb County, Georgia",284730,0.16,0.09,0.14,0.38,109336
2022,0500000US13091,"Dodge County, Georgia",6608,0.13,0.04,0.03,0.21,1374
2022,0500000US13093,"Dooly County, Georgia",3787,0.14,0.08,0.05,0.27,1015
2022,0500000US13095,"Dougherty County, Georgia",34041,0.11,0.03,0.03,0.17,5889
2022,0500000US13097,"Douglas County, Georgia",50552,0.18,0.1,0.07,0.35,17845
2022,0500000US13099,"Early County, Georgia",4016,0.12,0.04,0.02,0.17,691
2022,0500000US13101,"Echols County, Georgia",1227,0.2,0.02,0.04,0.26,320
2022,0500000US13103,"Effingham County, Georgia",22820,0.21,0.09,0.08,0.38,8694
2022,0500000US13105,"Elbert County, Georgia",7873,0.14,0.05,0.03,0.22,1732
2022,0500000US13107,"Emanuel County, Georgia",8321,0.12,0.03,0.02,0.16,1365
2022,0500000US13109,"Evans County, Georgia",3914,0.12,0.05,0.04,0.21,830
2022,0500000US13111,"Fannin County, Georgia",11327,0.1,0.06,0.06,0.22,2503
2022,0500000US13113,"Fayette County, Georgia",42888,0.21,0.12,0.2,0.53,22816
2022,0500000US13115,"Floyd County, Georgia",35996,0.16,0.06,0.05,0.28,10007
2022,0500000US13117,"Forsyth County, Georgia",84662,0.22,0.16,0.27,0.65,54692
2022,0500000US13119,"Franklin County, Georgia",8539,0.11,0.04,0.04,0.2,1708
2022,0500000US13121,"Fulton County, Georgia",450856,0.16,0.09,0.19,0.43,195672
2022,0500000US13123,"Gilmer County, Georgia",12868,0.17,0.06,0.05,0.28,3590
2022,0500000US13125,"Glascock County, Georgia",1052,0.15,0.04,0.05,0.24,250
2022,0500000US13127,"Glynn County, Georgia",33991,0.16,0.07,0.08,0.31,10435
2022,0500000US13129,"Gordon County, Georgia",20555,0.14,0.06,0.06,0.27,5447
2022,0500000US13131,"Grady County, Georgia",9792,0.15,0.03,0.06,0.23,2282
2022,0500000US13133,"Greene County, Georgia",7617,0.14,0.09,0.14,0.37,2803
2022,0500000US13135,"Gwinnett County, Georgia",317971,0.2,0.1,0.11,0.41,130050
2022,0500000US13137,"Habersham County, Georgia",15606,0.16,0.06,0.06,0.28,4292
2022,0500000US13139,"Hall County, Georgia",69387,0.17,0.09,0.1,0.36,24771
2022,0500000US13141,"Hancock County, Georgia",2785,0.09,0.06,0.02,0.17,465
2022,0500000US13143,"Haralson County, Georgia",11357,0.13,0.11,0.05,0.28,3225
2022,0500000US13145,"Harris County, Georgia",12204,0.19,0.1,0.12,0.41,4955
2022,0500000US13147,"Hart County, Georgia",10294,0.15,0.05,0.05,0.25,2563
2022,0500000US13149,"Heard County, Georgia",4405,0.14,0.05,0.05,0.24,1070
2022,0500000US13151,"Henry County, Georgia",82232,0.2,0.1,0.08,0.38,30919
2022,0500000US13153,"Houston County, Georgia",60607,0.2,0.09,0.07,0.36,21879
2022,0500000US13155,"Irwin County, Georgia",3566,0.09,0.02,0.02,0.13,467
2022,0500000US13157,"Jackson County, Georgia",25740,0.21,0.09,0.1,0.4,10245
2022,0500000US13159,"Jasper County, Georgia",5530,0.14,0.06,0.06,0.26,1416
2022,0500000US13161,"Jeff Davis County, Georgia",5365,0.07,0.07,0.01,0.15,783
2022,0500000US13163,"Jefferson County, Georgia",5826,0.14,0.05,0.02,0.21,1241
2022,0500000US13165,"Jenkins County, Georgia",3297,0.11,0.03,0,0.14,448
2022,0500000US13167,"Johnson County, Georgia",3290,0.11,0.04,0.01,0.16,536
